"CIUDAD";"NOMBRE OFICINA";"DIRECCIÓN";"lat";"lon";"Num_Eventos"
"CALI";"OESTE CALI";"CALLE 7 OESTE No. 1ª- 59 LOCAL 3";3,4358476;-76,5455461;1
"CALI";"PASOANCHO";"AVENIDA PASOANCHO No 72 - 16.";3,3918038;-76,5386187;1
"CALOTO";"EXTENSIÓN OFICINA CALOTO";"CARRERA 4 No. 12-03/ 21 ALCALDÍA MUNICIPAL CALOTO";3,0329368;-76,4083781;1
"CARTAGENA";"LA PLAZUELA";"CALLE 71 No. 29-236 CENTRO COMERCIAL CHOPPIN C.";10,4458964;-75,516701;1
"CARTAGO";"CARTAGO";"CALLE 12 No. 3-66 INT 124";4,7472212;-75,9116289;1
"CHÍA";"CHÍA";"CALLE 12 No. 10-26";4,8615273;-74,0598775;1
"CHINU";"CHINU";"CARRERA 7A No. 16-12";9,105964;-75,401527;1
"CÚCUTA";"CENABASTOS";"AVE, LIBERTADORES No. 19-24";7,9178136;-72,4930308;1
"CURUMANÍ";"CURUMANI";"CALLE 8 No. 16-19";9,2006539;-73,5435055;1
"FLORIDABLANCA";"CAÑAVERAL";"CARRERA 25 NO. 29-87 LOCAL 14/16";7,0703111;-73,107457;1
"FONSECA";"FONSECA";"CALLE 13 No. 15-57";10,8895407;-72,8486589;1
"FUSAGASUGA";"FUSAGASUGA";"CALLE 7 No. 6-55 PARQUE PRINCIPAL";4,3433887;-74,3620244;1
"IPIALES";"IPIALES";"CARRERA 7 No. 14-60";0,8254016;-77,6402304;1
"ITAGUÍ";"ITAGUI";"CALLE 50 No. 50-81";6,1724856;-75,6099313;1
"JAMUNDÍ";"JAMUNDÍ";"CARRERA 10 No. 9 - 02";3,2606873;-76,5414494;1
"LA CEJA";"LA CEJA";"CALLE 20 No. 20-44";6,031041;-75,43262;1
"MEDELLÍN";"EL TESORO";"CARRERA 25A No. 1A SUR 45 CENTRO COMERCIAL TESORO LOCAL 3290";6,1975427;-75,5588351;1
"MEDELLÍN";"MALL LA FRONTERA";"CARRERA 43A No. 18 SUR - 140 LOCAL 105";6,1857011;-75,5784996;1
"PUERTO BERRIO";"PUERTO BERRIO";"CALLE 7 No. 4-40";6,477755;-74,4088;1
"SAN MARCOS";"SAN MARCOS";"CALLE 15 No. 24-10";8,662577;-75,128872;1
"SANTA MARTA";"EL RODADERO";"CARRERA 2 No. 6-38";11,2060689;-74,2269419;1
